collection_date,sticker,companyName,date,revenue,cost_of_revenue,gross_profit,operating_expences_sales_general_administrative,other_operating_expenses,total_operating_expenses,operating_income,interest_expense,other_income_expense,income_before_income_taxes,provision_for_income_taxes,minority_interest,other_income,net_income_from_continuing_operations,net_income_from_discontinuing_operations,net_income_from_discontinuing_operations2,net_income_from_discontinuing_operations3,other,net_income,net_income_available_to_common_shareholders,earnings_per_share_basic,earnings_per_share_diluted,weighted_average_shares_outstanding_basic,weighted_average_shares_outstanding_diluted,ebitda,commision_and_fees,compensation_and_benefits,cummulative_effect_of_accounting_changes,depreciation_and_amortisation,extraordinary_items,income_from_cont_operations_before_taxes,income_tax_expense_benefit,interest_income,investment_income_net,merger_acquisition_and_restructuring,net_interest_income,nonrecurring_expense,operating_expenses,policyholder_benefits_and_claims_incurred,other_distributions,other_expense,other_expenses,other_special_charges,policyholder_benefits_and_claims_incurred,preferred_distributions,preferred_dividend,premiums,provision_benefit_for_taxes,realised_capital_gains_net,research_and_development,restructuring_merger_and_acquisition,securities_gains,tech_communication_and_equipment,total_benefits_claims_expenses,total_costs_and_expenses,total_expenses,total_interest_expense,total_interest_income,total_net_revenue,total_noninterest_expenses,total_noninterest_revenue,total_nonoperating_income_net,total_revenues
20180209,ANDRO,ANDROMEDA SA (CR),2014-12-01 00:00:00,-1.0,,,,,0.0,-1.0,,-0.0,-1.0,0.0,,,,,,,,-2.0,-2.0,-3.75,-3.75,0.0,0.0,-2.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
20180209,ANDRO,ANDROMEDA SA (CR),2015-12-01 00:00:00,-1.0,,,,,0.0,-1.0,,-0.0,-1.0,0.0,,,,,,,,-1.0,-1.0,-2.52,-2.52,0.0,0.0,-1.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
20180209,ANDRO,ANDROMEDA SA (CR),2016-12-01 00:00:00,1.0,,,,,0.0,1.0,,-0.0,1.0,0.0,,,,,,,,1.0,1.0,1.69,1.69,0.0,0.0,1.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
20180209,ANDRO,ANDROMEDA SA (CR),2017-12-01 00:00:00,4.0,,,,,0.0,4.0,,-0.0,4.0,0.0,,,,,,,,3.0,3.0,8.33,8.33,0.0,0.0,3.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
20180209,ANEK,ANEK LINES SA (CR),2012-12-01 00:00:00,200.0,177.0,22.0,28.0,4.0,32.0,-10.0,,-50.0,-60.0,0.0,,,-61.0,,,,-0.0,-61.0,-61.0,-0.32,-0.32,189.0,189.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180209,ANEK,ANEK LINES SA (CR),2013-12-01 00:00:00,178.0,155.0,23.0,27.0,36.0,63.0,-39.0,,3.0,-36.0,0.0,,,-37.0,,,,1.0,-36.0,-36.0,-0.19,-0.19,189.0,189.0,-25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180209,ANEK,ANEK LINES SA (CR),2014-12-01 00:00:00,169.0,144.0,26.0,25.0,24.0,49.0,-23.0,,4.0,-19.0,0.0,,,-19.0,,,,1.0,-18.0,-18.0,-0.09,-0.09,189.0,189.0,-8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180209,ANEK,ANEK LINES SA (CR),2015-12-01 00:00:00,160.0,117.0,43.0,23.0,19.0,42.0,0.0,15.0,15.0,1.0,1.0,,,0.0,,,,0.0,1.0,1.0,0.0,0.0,189.0,189.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180209,ANEK,ANEK LINES SA (CR),2016-12-01 00:00:00,158.0,117.0,41.0,23.0,4.0,27.0,14.0,12.0,0.0,2.0,1.0,,,1.0,,,,-1.0,1.0,1.0,0.0,0.0,189.0,189.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180209,ANEK,ANEK LINES SA (CR),2017-12-01 00:00:00,158.0,128.0,30.0,23.0,4.0,28.0,2.0,8.0,19.0,13.0,1.0,,,12.0,,,,-1.0,12.0,12.0,0.06,0.06,189.0,189.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180209,ANEMOS,ELTECH ANEMOS S.A. (CR),2012-12-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180209,ANEMOS,ELTECH ANEMOS S.A. (CR),2013-12-01 00:00:00,37.0,19.0,18.0,,8.0,8.0,10.0,8.0,2.0,4.0,1.0,,,3.0,,,,-0.0,2.0,2.0,0.03,0.03,62.0,62.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
