collection_date,sticker,companyName,date,operating_net_income,operating_inventory,operating_other_working_capital,operating_change_in_working_capital,operating_other_non_cash_items,operating_loss_from_discontinued_operations,operating_loss_from_disposision_of_businesses,operating_depreciation_and_amortisation,operating_amortisation_of_debt_discount_premium_and_issuance_cost,operating_payables,operating_receivable,operating_accounts_payable,operating_accounts_receivable,operating_accrued_liabilities,operating_cummulative_effect_of_accounting_change,operating_prepaid_expenses,operating_cash_paid_for_income_tax,operating_deferred_income_taxes,operating_deferred_tax_expense,operating_excess_tax_benefit_from_stock_based_compensation,operating_income_taxes_payable,operating_interest_payable,operating_effect_of_exchange_rate_changes,operating_other_assets_and_liabilities,operating_other_operating_activities,operating_net_cash_provided_by_operating_activities,investing_investments_in_property_plant_and_equipment,investing_property_and_equipments_net,investing_property_plant_and_equipment_reductions,investing_acquisitions_and_despositions,investing_acquisitions_net,investing_purchases_of_intangibles,investing_sale_of_intangibles,investing_purchases_of_investments,investing_common_stock_repurchased,investing_investment_asset_impairment_charges,investing_investment_losses_gains,investing_sale_maturities_of_investments,investing_other_investing_charges,investing_sale_maturities_of_fixed_maturity_and_equity_securities,investing_other_investing_activities,investing_net_cash_used_for_investing_activities,financing_change_in_short_term_borrowing,financing_loans,financing_debt_issued,financing_debt_repayment,financing_long_term_debt_issued,financing_long_term_debt_repayment,financing_redemption_of_prefered_stock,financing_repurchases_of_treasury_stock,financing_cash_dividends_paid,financing_cash_paid_for_interest,financing_cash_paid_for_interest,financing_preferred_stock_issued,financing_common_stock_issued,financing_warrant_issued,financing_stock_based_compensation,financing_other_financing_activities,financing_net_cash_used_for_financing_activities,net_change_in_cash,cash_at_beginning_of_period,cash_at_end_of_period,operating_cash_flow,capital_expenditure,free_cash_flow
20180209,ALPHA,ALPHA BANK (CR),2017-12-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,-7.0,-4558.0,1442.0,-2327.0,,-152.0,,102.0,,,,,,,,2065.0,,,-74.0,1941.0,,789.0,,,,-18.0,,,,,,,,,,204.0,186.0,-207.0,988.0,781.0,,,
20180209,ALTEC,ALTEC SA (CR),2012-12-01 00:00:00,-25.0,2.0,-4.0,-2.0,24.0,,,2.0,,,,,,,,,,,,,,,,,,-1.0,-0.0,,0.0,,,,,,,,,,,,0.0,-0.0,,,0.0,,,,,,,,,,,,,,0.0,-1.0,3.0,3.0,-1.0,-0.0,-1.0
20180209,ALTEC,ALTEC SA (CR),2013-12-01 00:00:00,-6.0,-0.0,-0.0,-0.0,5.0,,,1.0,,,,,,,,,,,,,,,,,,0.0,-0.0,,,,,,,,,,-0.0,,,,0.0,-0.0,,,0.0,,,,,,,,,,,,,,0.0,0.0,3.0,3.0,0.0,-0.0,0.0
20180209,ALTEC,ALTEC SA (CR),2014-12-01 00:00:00,-6.0,-0.0,1.0,1.0,5.0,,,1.0,,,,,,,,,,,,,,,,,,2.0,-0.0,,0.0,,-0.0,,,,,,,,,,0.0,-0.0,,,1.0,,,,,,,,,,,,,,1.0,2.0,3.0,5.0,2.0,-0.0,1.0
20180209,ALTEC,ALTEC SA (CR),2015-12-01 00:00:00,-12.0,0.0,2.0,2.0,10.0,,,1.0,,,,,,,,,,,,,,,,,,2.0,-0.0,,0.0,,,,,,,,,,,,-0.0,-0.0,,,0.0,,,,,,,,,,,,,,0.0,2.0,4.0,7.0,2.0,-0.0,2.0
20180209,ALTEC,ALTEC SA (CR),2016-12-01 00:00:00,-9.0,0.0,6.0,6.0,4.0,,,0.0,,,,,,,,,,,,,,,,,,1.0,-0.0,,,,0.0,,,,,,,,,,0.0,-0.0,,,1.0,-3.0,,,,,,,,,,,,,-3.0,-2.0,7.0,4.0,1.0,-0.0,1.0
20180209,ALTEC,ALTEC SA (CR),2017-12-01 00:00:00,-9.0,0.0,6.0,6.0,4.0,,,0.0,,,,,,,,,,,,,,,,,,1.0,-0.0,,,,0.0,,,,,,,,,,0.0,-0.0,,,1.0,-3.0,,,,,,,,,,,,,-3.0,-2.0,7.0,4.0,1.0,-0.0,1.0
20180209,ANDRO,ANDROMEDA SA (CR),2012-12-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.0,-0.0,,,,,,,-0.0,-9.0,-9.0,4.0,-6.0,,,7.0
20180209,ANDRO,ANDROMEDA SA (CR),2013-12-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0,-0.0,,,,4.0,,,-1.0,3.0,3.0,1.0,4.0,,,-4.0
20180209,ANDRO,ANDROMEDA SA (CR),2014-12-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0,-0.0,,,,,,,,-0.0,-0.0,1.0,0.0,,,1.0
20180209,ANDRO,ANDROMEDA SA (CR),2015-12-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0,-0.0,,,,,,,0.0,0.0,0.0,1.0,2.0,,,-1.0
20180209,ANDRO,ANDROMEDA SA (CR),2016-12-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0,-0.0,,,,,,,,-0.0,-0.0,1.0,1.0,,,0.0
20180209,ANDRO,ANDROMEDA SA (CR),2017-12-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0,,,,,,,,,-0.0,-0.0,1.0,1.0,,,0.0
20180209,ANEK,ANEK LINES SA (CR),2012-12-01 00:00:00,,2.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,3.0,-1.0,,,,-0.0,,,,,,,,,,0.0,-1.0,,,0.0,-2.0,,,,-0.0,-0.0,,,,,,,1.0,-1.0,1.0,3.0,4.0,3.0,-1.0,2.0
20180209,ANEK,ANEK LINES SA (CR),2013-12-01 00:00:00,,-1.0,-3.0,,2.0,,,,,,,,,,,,,,,,,,,,,-1.0,-5.0,,,,-0.0,,,,,,,,,,0.0,-4.0,,,6.0,-1.0,,,,,-0.0,,,,,,,,5.0,-0.0,4.0,4.0,-1.0,-5.0,-6.0
20180209,ANEK,ANEK LINES SA (CR),2014-12-01 00:00:00,,1.0,-11.0,,12.0,,,,,,,,,,,,,,,,,,,,,1.0,-1.0,,23.0,,-0.0,,,,,,,,,,0.0,22.0,,,5.0,-28.0,,,,-0.0,-0.0,,,,,,,-0.0,-23.0,-0.0,4.0,4.0,1.0,-1.0,0.0
20180209,ANEK,ANEK LINES SA (CR),2015-12-01 00:00:00,,0.0,-8.0,,28.0,,,,,,,,,,,,,,,,,,,,,20.0,-4.0,,0.0,,-3.0,,,,,,,,,,0.0,-7.0,,,,-9.0,,,,-0.0,-0.0,,,,,,,-1.0,-10.0,3.0,4.0,6.0,20.0,-4.0,16.0
20180209,ANEK,ANEK LINES SA (CR),2016-12-01 00:00:00,,0.0,-4.0,,28.0,,,,,,,,,,,,,,,,,,,,,24.0,-5.0,,0.0,,-2.0,,,,,,,,,,0.0,-7.0,,,,-10.0,,,,,-0.0,,,,,,,-1.0,-11.0,6.0,6.0,12.0,24.0,-5.0,19.0
20180209,ANEK,ANEK LINES SA (CR),2017-12-01 00:00:00,,0.0,-4.0,,28.0,,,,,,,,,,,,,,,,,,,,,24.0,-5.0,,0.0,,-2.0,,,,,,,,,,0.0,-7.0,,,,-10.0,,,,,-0.0,,,,,,,-1.0,-11.0,6.0,6.0,12.0,24.0,-5.0,19.0
20180209,ANEMOS,ELTECH ANEMOS S.A. (CR),2012-12-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180209,ANEMOS,ELTECH ANEMOS S.A. (CR),2013-12-01 00:00:00,,,-2.0,,17.0,,,,,,,,,,,,,,,,,,,,,15.0,-15.0,,,,,,,,,,,,,,-8.0,-23.0,,,3.0,-13.0,,,,,,,,,,,,19.0,9.0,1.0,1.0,3.0,15.0,-15.0,0.0
20180209,ANEMOS,ELTECH ANEMOS S.A. (CR),2014-12-01 00:00:00,,,2.0,,13.0,,,,,,,,,,,,,,,,,,,,,15.0,-38.0,,0.0,,,,,,,,,,,,4.0,-34.0,,,23.0,-15.0,,,,,-0.0,,,,,,,30.0,38.0,20.0,3.0,23.0,15.0,-38.0,-23.0
20180209,ANEMOS,ELTECH ANEMOS S.A. (CR),2015-12-01 00:00:00,,,-7.0,,23.0,,,,,,,,,,,,,,,,,,,,,16.0,-34.0,,,,,,,-15.0,,,,15.0,,,10.0,-24.0,,,49.0,-58.0,,,,,-0.0,,,,,,,-1.0,-10.0,-17.0,23.0,5.0,16.0,-34.0,-18.0
20180209,ANEMOS,ELTECH ANEMOS S.A. (CR),2016-12-01 00:00:00,,,-5.0,,27.0,,,,,,,,,,,,,,,,,,,,,22.0,-22.0,,0.0,,,,,,,,,,,,1.0,-21.0,,,19.0,-18.0,,,,,-0.0,,,,,,,-4.0,-2.0,-1.0,5.0,4.0,22.0,-22.0,0.0
20180209,ANEMOS,ELTECH ANEMOS S.A. (CR),2017-12-01 00:00:00,,,6.0,,28.0,,,,,,,,,,,,,,,,,,,,,34.0,-73.0,,,,,,,,,,,,,,3.0,-69.0,,,,-54.0,,,,,-0.0,,,,,,,93.0,38.0,3.0,3.0,6.0,34.0,-73.0,-39.0
20180209,ANEP,"ANEK LINES SA (PR, issue '90)",2012-12-01 00:00:00,,2.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,3.0,-1.0,,,,-0.0,,,,,,,,,,0.0,-1.0,,,0.0,-2.0,,,,-0.0,-0.0,,,,,,,1.0,-1.0,1.0,3.0,4.0,3.0,-1.0,2.0
20180209,ANEP,"ANEK LINES SA (PR, issue '90)",2013-12-01 00:00:00,,-1.0,-3.0,,2.0,,,,,,,,,,,,,,,,,,,,,-1.0,-5.0,,,,-0.0,,,,,,,,,,0.0,-4.0,,,6.0,-1.0,,,,,-0.0,,,,,,,,5.0,-0.0,4.0,4.0,-1.0,-5.0,-6.0
20180209,ANEP,"ANEK LINES SA (PR, issue '90)",2014-12-01 00:00:00,,1.0,-11.0,,12.0,,,,,,,,,,,,,,,,,,,,,1.0,-1.0,,23.0,,-0.0,,,,,,,,,,0.0,22.0,,,5.0,-28.0,,,,-0.0,-0.0,,,,,,,-0.0,-23.0,-0.0,4.0,4.0,1.0,-1.0,0.0
