collection_date,sticker,companyName,price_earnings_ttm,price_book,price_sales_ttm,rev_growth_3years_avg,net_income_growth_3_years_avg,operating_margin_ttm,net_margin_ttm,roa_ttm,roe_ttm,debt_equity
2018-02-02 00:00:00,MOYZK,EL. D. MOUZAKIS SA (CB),30.4,0.4,2.3,,,-1.8,7.6,0.8,1.4,
2018-02-02 00:00:00,MPITR,BITROS HOLDING SA (CR),,,,,,,,,,
2018-02-02 00:00:00,MPK,J.BOUTARIS & SON HOLD. SA (CB),,,,,,,,,,
2018-02-02 00:00:00,MPP,J.BOUTARIS & SON HOLD. (PB),,,,,,,,,,
2018-02-02 00:00:00,MYTIL,MYTILINEOS HOLDINGS (CR),13.2,1.1,1.0,-3.9,29.0,14.3,7.2,3.4,9.0,0.4
2018-02-02 00:00:00,NAFT,NAYTEMPORIKI PUBLISHING SA(CR),,,,,,,,,,
2018-02-02 00:00:00,NAKAS,NAKAS MUSIC,,,,,,,,,,
2018-02-02 00:00:00,NAYP,NAFPAKTOS TEXTILE IND. SA (CB),,,,,,,,,,
2018-02-02 00:00:00,NEL,NEL SA (CR),,,,,,,,,,
2018-02-02 00:00:00,NEORS,NEORION SA (CR),,,,,,,,,,
2018-02-02 00:00:00,NEWS,NEWSPHONE HELLAS SA (CR),,0.3,0.3,-13.6,,5.9,-6.4,-3.2,-5.8,
2018-02-02 00:00:00,NIKAS,NIKAS SA (CR),,,,,,,,,,
2018-02-02 00:00:00,NIR,NIREFS SA (CR),,,,,,,,,,
2018-02-02 00:00:00,OLTH,TPA SA (CR),16.5,2.1,5.5,-2.3,-8.2,45.3,33.4,11.8,13.5,
2018-02-02 00:00:00,OLYMP,TECHNICAL OLYMPIC SA (CR),,0.3,3.7,-12.3,,-47.0,-42.1,-2.1,-3.8,0.1
2018-02-02 00:00:00,OPAP,OPAP (CR),20.8,3.7,5.7,-13.1,6.5,41.6,27.5,9.3,16.9,0.4
2018-02-02 00:00:00,OTOEL,AUTOHELLAS SA (CR),,,,,,,,,,0.7
2018-02-02 00:00:00,PAIR,PAIRIS SA (CR),,,,,,,,,,
2018-02-02 00:00:00,PANGAEA,NBG PANGAEA (CR),16.6,1.0,10.5,13.4,,90.7,62.7,4.5,6.2,0.3
2018-02-02 00:00:00,PAP,PAPOUTSANIS (CR),,,,,,,,,,
2018-02-02 00:00:00,PASAL,PASAL DEVELOPMENT S.A. (CR),,,0.4,-11.9,,-474.1,-685.1,-22.0,,
2018-02-02 00:00:00,PEGAS,PEGASUS PUBLISHING S.A. (CR),,,,,,,,,,
2018-02-02 00:00:00,PERS,PERSEUS SA (CR),18.8,0.3,0.2,-11.3,-12.4,5.2,0.8,0.6,1.8,1.2
2018-02-02 00:00:00,PETRO,PETROPOULOS PETROS (CR),74.5,1.4,0.6,19.2,29.8,,0.8,0.8,1.8,0.3
2018-02-02 00:00:00,PLAIS,PLAISIO COMPUTERS SA (CR),23.7,1.1,0.4,,-32.1,2.9,1.5,3.0,4.9,0.1
2018-02-02 00:00:00,PLAKR,CRETE PLASTICS SA (CR),11.5,1.4,1.0,6.4,26.9,14.0,9.0,9.4,12.8,
2018-02-02 00:00:00,PLAT,THRACE PLASTICS SA (CR),14.1,0.9,0.4,,,5.9,2.7,2.8,6.7,0.1
2018-02-02 00:00:00,PPA,P.P.A. S.A. (CR),181.0,2.5,4.4,-2.1,5.3,-6.1,2.4,0.6,1.4,0.4
2018-02-02 00:00:00,PPAK,PAPERPACK (CR),,,,,,,,,,
2018-02-02 00:00:00,PPC,PPC (CR),4.9,0.1,0.2,-4.4,,4.0,0.5,0.2,0.4,0.7
2018-02-02 00:00:00,PRD,PROODEFTIKH SA (CR),,,,,,,,,,
2018-02-02 00:00:00,PRESD,GEKE SA (CB),,,,,,,,,,
2018-02-02 00:00:00,PROF,PROFILE SA (CR),24.3,0.7,1.2,-0.1,-4.6,10.2,5.0,1.4,2.8,0.1
2018-02-02 00:00:00,PROFK,GIRAKIAN PROFIL SA (CB),,,,,,,,,,
2018-02-02 00:00:00,PSYST,PC SYSTEMS SA (CR),,,,,,,,,,
2018-02-02 00:00:00,QUAL,QUALITY & RELIABILITY SA (CR),,1.8,2.2,8.0,,-2.7,-8.8,-3.2,-6.9,0.3
2018-02-02 00:00:00,QUEST,QUEST HOLDINGS (CR),,1.0,0.3,9.6,,4.5,,-0.1,-0.1,0.1
2018-02-02 00:00:00,REVOIL,REVOIL (CR),,,,,,,,,,
2018-02-02 00:00:00,SAR,GR. SARANTIS SA (CR),17.7,2.7,1.5,11.6,32.4,9.6,7.9,9.4,14.9,0.1
2018-02-02 00:00:00,SATOK,SATO SA (CR),,,,,,,,,,
2018-02-02 00:00:00,SELO,SELONDA AQUACULTURE SA (CR),,,,,,,,,,
2018-02-02 00:00:00,SFA,SFAKIANAKIS SA (CR),,,,,,,,,,
2018-02-02 00:00:00,SIDMA,SIDMA SA (CR),,,,,,,,,,
2018-02-02 00:00:00,SPACE,SPACE HELLAS SA (CR),28.3,2.1,0.6,5.5,160.4,6.8,2.2,2.3,7.6,0.8
2018-02-02 00:00:00,SPIR,SPIROY AGRICULTURE SA (CR),,,,,,,,,,
2018-02-02 00:00:00,TATT,ATTICA BANK S.A. (CR),,0.2,0.9,-52.4,,-11.4,-39.9,-1.1,-7.0,
2018-02-02 00:00:00,TBANK,T BANK (CR),,,,,,,,,,
2018-02-02 00:00:00,TELET,TELETIPOS SA (CR),,,0.1,-7.9,,-30.3,-45.4,-15.0,-215.7,
2018-02-02 00:00:00,TELL,BANK OF GREECE (CR),0.3,0.4,0.2,16.6,9.5,63.4,63.4,0.7,134.0,8.7
2018-02-02 00:00:00,TENERGY,TERNA ENERGY (CR),20.1,1.5,1.9,17.3,71.4,32.4,9.5,1.9,7.6,1.7
2018-02-02 00:00:00,TEXT,TEXAPRET SA (CR),,,,,,,,,,
2018-02-02 00:00:00,TITK,TITAN CEMENT (CR),51.8,1.5,1.3,10.2,,10.8,2.5,1.4,2.7,0.6
2018-02-02 00:00:00,TITP,TITAN CEMENT CO. (PR),38.6,1.1,1.0,10.2,,10.8,2.5,1.4,2.7,0.6
2018-02-02 00:00:00,TPEIR,PIRAEUS BANK (CR),,0.2,1.3,-27.1,,-19.2,-7.9,-0.1,-1.1,
2018-02-02 00:00:00,TRASTOR,TRASTOR REAL EST. INV. CO.(CR),,0.9,17.9,-3.2,,-10.3,-28.2,-1.5,-1.6,0.1
2018-02-02 00:00:00,TROP,TROPEA HOLDING (CR),,,,,,,,,,
2018-02-02 00:00:00,TT,TT HELLENIC POSTBANK (CR),,,,55.2,,,,-1.4,-24.2,0.2
2018-02-02 00:00:00,VARG,VARANGIS AVEPE S.A. (CR),,,,,,,,,,
2018-02-02 00:00:00,VARNH,VARVARESSOS SA (CB),,,,,,,,,,
2018-02-02 00:00:00,VIO,VIOHALCO SA/NV (CB),58.9,0.9,0.3,2.6,,4.6,0.5,0.5,1.6,0.8
2018-02-02 00:00:00,VIS,VIS SA (CR),,,,,,,,,,
2018-02-02 00:00:00,VOSYS,VOGIATZOGLOU SYSTEMS SA (CR),,,,,,,,,,
2018-02-02 00:00:00,VOVOS,BABIS VOVOS SA (CR),,,1.9,-36.6,,1493.8,726.7,12.0,,
2018-02-02 00:00:00,XAKO,HALKOR SA (CB),21.6,1.8,0.2,-14.3,,4.4,0.2,0.2,1.6,2.2
2018-02-02 00:00:00,XYLEK,INTERWOOD-XYLEMPORIA (CR),,,,,,,,,,
2018-02-02 00:00:00,XYLEP,INTERWOOD-XYLEMPORIA (PR),,,,,,,,,,
2018-02-02 00:00:00,YALCO,YALCO - CONSTANTINOU SA (CB),,,,,,,,,,
