collection_date,sticker,companyName,date,currentAssets_cash_and_cash_equivalents,currentAssets_cash_and_due_from_banks,currentAssets_short_term_investments,currentAssets_total_cash,currentAssets_inventories,currentAssets_deposits,currentAssets_derivative_assets,currentAssets_accumulated_other_comprehensive_income,currentAssets_trading_assets,currentAssets_other_current_assets,currentAssets_total_current_assets,nonCurrentAssets_land,nonCurrentAssets_fixtures_and_equipment,nonCurrentAssets_other_properties,nonCurrentAssets_property_and_equipment,nonCurrentAssets_property_and_equipment_at_cost,nonCurrentAssets_property_and_equipment_net,nonCurrentAssets_real_estate_properties,nonCurrentAssets_real_estate_properties_net,nonCurrentAssets_accumulated_depreciation,nonCurrentAssets_goodwill,nonCurrentAssets_intangible_assets,nonCurrentAssets_other_intangible_assets,nonCurrentAssets_deferred_revenues,nonCurrentAssets_receivables,nonCurrentAssets_premiums_and_other_receivables,nonCurrentAssets_unearned_premiums,nonCurrentAssets_prepaid_expenses,nonCurrentAssets_general_partner,nonCurrentAssets_minority_interest,nonCurrentAssets_net_loans,nonCurrentAssets_investments,nonCurrentAssets_equity_and_other_investments,nonCurrentAssets_other_long_term_assets,nonCurrentAssets_total_non_current_assets,other_assets,total_assets,currentLiabilities_accounts_payable,currentLiabilities_payables_and_accrued_expenses,currentLiabilities_short_term_debt,currentLiabilities_short_term_borrowing,currentLiabilities_capital_leases,currentLiabilities_taxes_payable,currentAssets_derivative_liabilities,currentLiabilities_other_current_liabilities,currentLiabilities_total_current_liabilities,nonCurrentLiabilities_accrued_liabilities,nonCurrentLiabilities_debt_securities,nonCurrentLiabilities_long_term_debt,nonCurrentLiabilities_capital_leases,nonCurrentLiabilities_deferred_taxes_liabilities,nonCurrentAssets_deferred_income_taxes,nonCurrentLiabilities_pensions_and_other_benefits,nonCurrentLiabilities_other_long_term_liabilities,nonCurrentLiabilities_total_non_current_liabilities,other_liabilities,total_liabilities,stockholdersEquity_additional_paid_in_capital,stockholdersEquity_retained_earnings,stockholdersEquity_treasurey_stock,stockholdersEquity_preferred_stock,stockholdersEquity_common_stock,total_stockholders_equity,total_liabilities_and_stockholders_equity
20180209,ELPE,HELLENIC PETROLEUM (CR),2015-12-01 00:00:00,2108.0,,,2108.0,662.0,,,-221.0,,752.0,3523.0,,,,,6017.0,3385.0,,,-2632.0,,117.0,,,,,,,,106.0,,,,764.0,4506.0,,8029.0,,,1632.0,,,,,2838.0,4471.0,,,1594.0,4.0,45.0,240.0,,124.0,1874.0,,6344.0,,221.0,,,1684.0,,8029.0
20180209,ELPE,HELLENIC PETROLEUM (CR),2016-12-01 00:00:00,1082.0,,15.0,1097.0,929.0,,,-550.0,,868.0,2894.0,,,,,6118.0,3303.0,,,-2815.0,,108.0,,,,,,,,102.0,,,,782.0,4295.0,,7189.0,,,1386.0,,,,,1782.0,3168.0,,,1452.0,4.0,43.0,101.0,,380.0,1981.0,,5149.0,,550.0,,,2040.0,,7189.0
20180209,ELSTR,ELASTRON (CR),2012-12-01 00:00:00,18.0,,,18.0,24.0,,,-33.0,,34.0,76.0,,,,,75.0,58.0,,,-17.0,,0.0,,5.0,,,,,,0.0,,,,2.0,61.0,,136.0,5.0,,43.0,,,,,1.0,49.0,,,8.0,,,1.0,,0.0,14.0,,63.0,11.0,22.0,-0.0,,73.0,,136.0
20180209,ELSTR,ELASTRON (CR),2013-12-01 00:00:00,9.0,,,9.0,15.0,,,-30.0,,22.0,47.0,,,,,63.0,49.0,,,-14.0,,0.0,,3.0,,,,,,0.0,,,,7.0,56.0,,103.0,6.0,,19.0,,,,,1.0,26.0,,,3.0,,0.0,,,0.0,7.0,,33.0,11.0,19.0,-0.0,,70.0,,103.0
20180209,ELSTR,ELASTRON (CR),2014-12-01 00:00:00,12.0,,0.0,13.0,22.0,,,-26.0,,20.0,55.0,,,,,68.0,52.0,,,-16.0,,0.0,,5.0,,,,,,0.0,,,,7.0,58.0,,113.0,16.0,,12.0,,,,,1.0,29.0,,,11.0,,1.0,,,1.0,18.0,,47.0,11.0,15.0,-0.0,,66.0,,113.0
20180209,ELSTR,ELASTRON (CR),2015-12-01 00:00:00,6.0,,0.0,6.0,18.0,,,-24.0,,16.0,39.0,,,,,70.0,52.0,,,-18.0,,0.0,,5.0,,,,,,0.0,,,,5.0,57.0,,96.0,2.0,,9.0,,,,,1.0,11.0,,,15.0,,1.0,,,0.0,21.0,,33.0,11.0,13.0,-0.0,,64.0,,96.0
20180209,ELSTR,ELASTRON (CR),2016-12-01 00:00:00,5.0,,0.0,5.0,23.0,,,-26.0,,21.0,48.0,,,,,82.0,54.0,,,-27.0,,0.0,,5.0,,,,,,0.0,,,,2.0,57.0,,105.0,3.0,,16.0,,,,,2.0,20.0,,,12.0,,2.0,,,1.0,19.0,,40.0,11.0,14.0,-0.0,,65.0,,105.0
20180209,ETE,NATIONAL BANK (CR),2012-12-01 00:00:00,,2157.0,,,,91159.0,3693.0,-1284.0,5469.0,,,,,,1282.0,,,,,,2714.0,,408.0,,743.0,,,,,,67016.0,,,,,3530.0,101156.0,,,,,,,4784.0,,,,7447.0,4143.0,,,,,,,2828.0,107259.0,4079.0,-15037.0,-0.0,1358.0,4780.0,-6104.0,101156.0
20180209,ETE,NATIONAL BANK (CR),2013-12-01 00:00:00,,1968.0,,,,85594.0,3671.0,-2596.0,3082.0,,,,,,1418.0,,,,,,2186.0,,333.0,,829.0,,,,,,65484.0,,,,,4299.0,106841.0,,,,,,,3032.0,,,,16745.0,4260.0,,,,,,,3454.0,104514.0,17859.0,-15007.0,-2.0,1354.0,719.0,2327.0,106841.0
20180209,ETE,NATIONAL BANK (CR),2014-12-01 00:00:00,,2727.0,,,,81512.0,5943.0,-2547.0,2405.0,,,,,,2128.0,,,,,,2243.0,,353.0,,827.0,,,,,,65416.0,,,,,4070.0,108413.0,,,,,,,6263.0,,,,15848.0,6395.0,,,,,,,2294.0,106015.0,19918.0,-17387.0,,1354.0,1060.0,2398.0,108413.0
